condition,task_type,trial,agent,completion,build,tests_pass,no_regression,file_discipline,spec_match,duration_s,total
gate,complex,1,a,1,1,1,1,1,1,140,6
gate,complex,1,b,1,1,1,1,1,1,164,6
gate,complex,10,a,1,1,1,1,1,1,192,6
gate,complex,10,b,1,1,1,1,1,1,265,6
gate,complex,2,a,1,1,1,1,1,1,182,6
gate,complex,2,b,1,1,1,1,1,1,223,6
gate,complex,3,a,1,1,1,1,1,1,87,6
gate,complex,3,b,1,1,1,1,1,1,170,6
gate,complex,4,a,1,1,1,1,1,1,126,6
gate,complex,4,b,1,1,1,1,1,1,139,6
gate,complex,5,a,1,1,1,1,1,1,164,6
gate,complex,5,b,1,1,1,1,1,1,341,6
gate,complex,6,a,1,1,1,1,1,1,90,6
gate,complex,6,b,1,1,1,1,1,1,200,6
gate,complex,7,a,1,1,1,1,1,1,183,6
gate,complex,7,b,1,1,1,1,1,1,316,6
gate,complex,8,a,1,1,1,1,1,1,122,6
gate,complex,8,b,1,1,1,1,1,1,474,6
gate,complex,9,a,1,1,1,1,1,1,158,6
gate,complex,9,b,1,1,1,1,1,1,221,6
gate,simple,1,a,1,1,1,1,1,1,82,6
gate,simple,1,b,1,1,1,1,1,1,64,6
gate,simple,10,a,1,1,1,1,1,1,122,6
gate,simple,10,b,1,1,1,1,1,1,159,6
gate,simple,2,a,1,1,1,1,1,1,82,6
gate,simple,2,b,1,1,1,1,1,1,96,6
gate,simple,3,a,1,1,1,1,1,1,93,6
gate,simple,3,b,1,1,1,1,1,1,110,6
gate,simple,4,a,1,1,1,1,1,1,91,6
gate,simple,4,b,1,1,1,1,1,1,106,6
gate,simple,5,a,1,1,1,1,1,1,139,6
gate,simple,5,b,1,1,1,1,1,1,89,6
gate,simple,6,a,1,1,1,1,1,1,117,6
gate,simple,6,b,1,1,1,1,1,1,175,6
gate,simple,7,a,1,1,1,1,1,1,118,6
gate,simple,7,b,1,1,1,1,1,1,133,6
gate,simple,8,a,1,1,1,1,1,1,110,6
gate,simple,8,b,1,1,1,1,1,1,81,6
gate,simple,9,a,1,1,1,1,1,1,98,6
gate,simple,9,b,1,1,1,1,1,1,100,6
