phase,trial,agent,completion,build,tests_pass,spec_match,duration_s,total
rename,1,a,1,1,1,1,41,4
rename,1,b,1,1,1,1,50,4
rename,2,a,1,1,1,1,44,4
rename,2,b,1,1,1,1,38,4
rename,3,a,1,1,1,1,51,4
rename,3,b,1,1,1,1,45,4
reorganize,1,a,1,1,1,1,69,4
reorganize,1,b,1,1,1,1,48,4
reorganize,2,a,1,1,1,1,36,4
reorganize,2,b,1,1,1,1,51,4
reorganize,3,a,1,1,1,1,40,4
reorganize,3,b,1,1,1,1,50,4
alternatives,1,a,1,1,1,1,39,4
alternatives,1,b,1,1,1,1,48,4
alternatives,2,a,1,1,1,1,52,4
alternatives,2,b,1,1,1,1,41,4
alternatives,3,a,1,1,1,1,51,4
alternatives,3,b,1,1,1,1,43,4
