condition,trial,agent,completion,build,tests_pass,no_regression,file_discipline,spec_match,duration_s,total
anchored-flat,1,a,1,1,1,1,1,1,41,6
anchored-flat,1,b,1,1,1,1,1,1,43,6
anchored-flat,10,a,1,1,1,1,1,1,45,6
anchored-flat,10,b,1,1,1,1,1,1,39,6
anchored-flat,2,a,1,1,1,1,1,1,45,6
anchored-flat,2,b,1,1,1,1,1,1,39,6
anchored-flat,3,a,1,1,1,1,1,1,40,6
anchored-flat,3,b,1,1,1,1,1,1,45,6
anchored-flat,4,a,1,1,1,1,1,1,36,6
anchored-flat,4,b,1,1,1,1,1,1,41,6
anchored-flat,5,a,1,1,1,1,1,1,34,6
anchored-flat,5,b,1,1,1,1,1,1,43,6
anchored-flat,6,a,1,1,1,1,1,1,62,6
anchored-flat,6,b,1,1,1,1,1,1,40,6
anchored-flat,7,a,1,1,1,1,1,1,46,6
anchored-flat,7,b,1,1,1,1,1,1,60,6
anchored-flat,8,a,1,1,1,1,1,1,39,6
anchored-flat,8,b,1,1,1,1,1,1,39,6
anchored-flat,9,a,1,1,1,1,1,1,70,6
anchored-flat,9,b,1,1,1,1,1,1,57,6
anchored-sectioned,1,a,1,1,1,1,1,1,34,6
anchored-sectioned,1,b,1,1,1,1,1,1,42,6
anchored-sectioned,10,a,1,1,1,1,1,1,44,6
anchored-sectioned,10,b,1,1,1,1,1,1,42,6
anchored-sectioned,2,a,1,1,1,1,1,1,50,6
anchored-sectioned,2,b,1,1,1,1,1,1,39,6
anchored-sectioned,3,a,1,1,1,1,1,1,36,6
anchored-sectioned,3,b,1,1,1,1,1,1,61,6
anchored-sectioned,4,a,1,1,1,1,1,1,35,6
anchored-sectioned,4,b,1,1,1,1,1,1,38,6
anchored-sectioned,5,a,1,1,1,1,1,1,34,6
anchored-sectioned,5,b,1,1,1,1,1,1,54,6
anchored-sectioned,6,a,1,1,1,1,1,1,41,6
anchored-sectioned,6,b,1,1,1,1,1,1,44,6
anchored-sectioned,7,a,1,1,1,1,1,1,39,6
anchored-sectioned,7,b,1,1,1,1,1,1,45,6
anchored-sectioned,8,a,1,1,1,1,1,1,36,6
anchored-sectioned,8,b,1,1,1,1,1,1,36,6
anchored-sectioned,9,a,1,1,1,1,1,1,35,6
anchored-sectioned,9,b,1,1,1,1,1,1,48,6
bare-flat,1,a,1,1,1,1,1,1,42,6
bare-flat,1,b,1,1,1,1,1,1,62,6
bare-flat,10,a,1,1,1,1,1,1,38,6
bare-flat,10,b,1,1,1,1,1,1,47,6
bare-flat,2,a,1,1,1,1,1,1,41,6
bare-flat,2,b,1,1,1,1,1,1,41,6
bare-flat,3,a,1,1,1,1,1,1,41,6
bare-flat,3,b,1,1,1,1,1,1,43,6
bare-flat,4,a,1,1,1,1,1,1,47,6
bare-flat,4,b,1,1,1,1,1,1,37,6
bare-flat,5,a,1,1,1,1,1,1,35,6
bare-flat,5,b,1,1,1,1,1,1,32,6
bare-flat,6,a,1,1,1,1,1,1,56,6
bare-flat,6,b,1,1,1,1,1,1,45,6
bare-flat,7,a,1,1,1,1,1,1,42,6
bare-flat,7,b,1,1,1,1,1,1,37,6
bare-flat,8,a,1,1,1,1,1,1,50,6
bare-flat,8,b,1,1,1,1,1,1,43,6
bare-flat,9,a,1,1,1,1,1,1,43,6
bare-flat,9,b,1,1,1,1,1,1,39,6
bare-sectioned,1,a,1,1,1,1,1,1,48,6
bare-sectioned,1,b,1,1,1,1,1,1,82,6
bare-sectioned,10,a,1,1,1,1,1,1,34,6
bare-sectioned,10,b,1,1,1,1,1,1,50,6
bare-sectioned,2,a,1,1,1,1,1,1,31,6
bare-sectioned,2,b,1,1,1,1,1,1,46,6
bare-sectioned,3,a,1,1,1,1,1,1,31,6
bare-sectioned,3,b,1,1,1,1,1,1,40,6
bare-sectioned,4,a,1,1,1,1,1,1,33,6
bare-sectioned,4,b,1,1,1,1,1,1,49,6
bare-sectioned,5,a,1,1,1,1,1,1,46,6
bare-sectioned,5,b,1,1,1,1,1,1,49,6
bare-sectioned,6,a,1,1,1,1,1,1,51,6
bare-sectioned,6,b,1,1,1,1,1,1,40,6
bare-sectioned,7,a,1,1,1,1,1,1,38,6
bare-sectioned,7,b,1,1,1,1,1,1,35,6
bare-sectioned,8,a,1,1,1,1,1,1,41,6
bare-sectioned,8,b,1,1,1,1,1,1,32,6
bare-sectioned,9,a,1,1,1,1,1,1,42,6
bare-sectioned,9,b,1,1,1,1,1,1,37,6
rich-flat,1,a,1,1,1,1,1,1,33,6
rich-flat,1,b,1,1,1,1,1,1,41,6
rich-flat,10,a,1,1,1,1,1,1,41,6
rich-flat,10,b,1,1,1,1,1,1,48,6
rich-flat,2,a,1,1,1,1,1,1,46,6
rich-flat,2,b,1,1,1,1,1,1,35,6
rich-flat,3,a,1,1,1,1,1,1,41,6
rich-flat,3,b,1,1,1,1,1,1,42,6
rich-flat,4,a,1,1,1,1,1,1,57,6
rich-flat,4,b,1,1,1,1,1,1,38,6
rich-flat,5,a,1,1,1,1,1,1,40,6
rich-flat,5,b,1,1,1,1,1,1,46,6
rich-flat,6,a,1,1,1,1,1,1,44,6
rich-flat,6,b,1,1,1,1,1,1,43,6
rich-flat,7,a,1,1,1,1,1,1,42,6
rich-flat,7,b,1,1,1,1,1,1,37,6
rich-flat,8,a,1,1,1,1,1,1,38,6
rich-flat,8,b,1,1,1,1,1,1,40,6
rich-flat,9,a,1,1,1,1,1,1,38,6
rich-flat,9,b,1,1,1,1,1,1,38,6
