condition,task_type,trial,agent,completion,build,tests_pass,no_regression,file_discipline,spec_match,duration_s,total
merge-educated,complex,1,a,1,1,1,1,1,1,74,6
merge-educated,complex,1,b,1,1,1,1,1,1,115,6
merge-educated,complex,10,a,1,1,1,1,1,1,106,6
merge-educated,complex,10,b,1,1,1,1,1,1,88,6
merge-educated,complex,2,a,1,1,1,1,1,1,78,6
merge-educated,complex,2,b,1,1,1,1,1,1,101,6
merge-educated,complex,3,a,1,1,1,1,1,1,80,6
merge-educated,complex,3,b,1,1,1,1,1,1,234,6
merge-educated,complex,4,a,1,1,1,1,1,1,110,6
merge-educated,complex,4,b,1,1,1,1,1,1,150,6
merge-educated,complex,5,a,1,1,1,1,1,1,88,6
merge-educated,complex,5,b,1,1,1,1,1,1,120,6
merge-educated,complex,6,a,1,1,1,1,1,1,60,6
merge-educated,complex,6,b,1,1,1,1,1,1,126,6
merge-educated,complex,7,a,1,1,1,1,1,1,89,6
merge-educated,complex,7,b,1,1,1,1,1,1,123,6
merge-educated,complex,8,a,1,1,1,1,1,1,68,6
merge-educated,complex,8,b,1,1,1,1,1,1,114,6
merge-educated,complex,9,a,1,1,1,1,1,1,80,6
merge-educated,complex,9,b,1,1,1,1,1,1,104,6
merge-educated,simple,1,a,1,1,1,1,1,1,64,6
merge-educated,simple,1,b,1,1,1,1,1,1,70,6
merge-educated,simple,10,a,1,1,1,1,1,1,82,6
merge-educated,simple,10,b,1,1,1,1,1,1,104,6
merge-educated,simple,2,a,1,1,1,1,1,1,101,6
merge-educated,simple,2,b,1,1,1,1,1,1,77,6
merge-educated,simple,3,a,1,1,1,1,1,1,58,6
merge-educated,simple,3,b,1,1,1,1,1,1,65,6
merge-educated,simple,4,a,1,1,1,1,1,1,68,6
merge-educated,simple,4,b,1,1,1,1,1,1,77,6
merge-educated,simple,5,a,1,1,1,1,1,1,67,6
merge-educated,simple,5,b,1,1,1,1,1,1,75,6
merge-educated,simple,6,a,1,1,1,1,1,1,85,6
merge-educated,simple,6,b,1,1,1,1,1,1,56,6
merge-educated,simple,7,a,1,1,1,1,1,1,74,6
merge-educated,simple,7,b,1,1,1,1,1,1,74,6
merge-educated,simple,8,a,1,1,1,1,1,1,64,6
merge-educated,simple,8,b,1,1,1,1,1,1,58,6
merge-educated,simple,9,a,1,1,1,1,1,1,56,6
merge-educated,simple,9,b,1,1,1,1,1,1,78,6
