condition,task_type,trial,agent,completion,build,tests_pass,file_discipline,spec_match,duration_s,total
merge-educated,complex,1,a,1,1,1,1,1,203,5
merge-educated,complex,1,b,1,1,1,1,1,399,5
merge-educated,complex,10,a,1,1,1,1,1,173,5
merge-educated,complex,10,b,1,1,1,1,1,230,5
merge-educated,complex,2,a,1,1,1,1,1,197,5
merge-educated,complex,2,b,1,1,1,1,1,600,5
merge-educated,complex,3,a,1,1,1,1,1,115,5
merge-educated,complex,3,b,1,1,1,1,1,195,5
merge-educated,complex,4,a,1,1,1,1,1,151,5
merge-educated,complex,4,b,1,1,1,1,1,298,5
merge-educated,complex,5,a,1,1,1,1,1,164,5
merge-educated,complex,5,b,1,1,1,1,1,180,5
merge-educated,complex,6,a,1,1,1,1,1,161,5
merge-educated,complex,6,b,1,1,1,1,1,268,5
merge-educated,complex,7,a,1,1,1,1,1,149,5
merge-educated,complex,7,b,1,1,1,1,1,177,5
merge-educated,complex,8,a,1,1,1,1,1,149,5
merge-educated,complex,8,b,1,1,1,1,1,297,5
merge-educated,complex,9,a,1,1,1,1,1,144,5
merge-educated,complex,9,b,1,1,1,1,1,223,5
merge-educated,simple,1,a,1,1,1,1,1,146,5
merge-educated,simple,1,b,1,1,1,1,1,103,5
merge-educated,simple,10,a,1,1,1,1,1,551,5
merge-educated,simple,10,b,1,1,1,1,1,149,5
merge-educated,simple,2,a,1,1,1,1,1,173,5
merge-educated,simple,2,b,1,1,1,1,1,131,5
merge-educated,simple,3,a,0,1,1,0,0,600,2
merge-educated,simple,3,b,1,1,1,1,1,140,5
merge-educated,simple,4,a,1,1,1,1,1,121,5
merge-educated,simple,4,b,1,1,1,1,1,124,5
merge-educated,simple,5,a,1,1,1,1,1,150,5
merge-educated,simple,5,b,1,1,1,1,1,182,5
merge-educated,simple,6,a,1,1,1,1,1,147,5
merge-educated,simple,6,b,1,1,1,1,1,159,5
merge-educated,simple,7,a,1,1,1,1,1,108,5
merge-educated,simple,7,b,1,1,1,1,1,199,5
merge-educated,simple,8,a,1,1,1,1,1,160,5
merge-educated,simple,8,b,1,1,1,1,1,114,5
merge-educated,simple,9,a,1,1,1,1,1,134,5
merge-educated,simple,9,b,1,1,1,1,1,154,5
