condition,trial,agent,completion,build,tests_pass,no_regression,file_discipline,spec_match,duration_s,total
context-share,1,a,1,1,1,1,1,1,57,6
context-share,1,b,1,1,1,1,1,1,129,6
context-share,10,a,1,1,1,1,1,0,75,5
context-share,10,b,1,1,1,1,1,1,118,6
context-share,2,a,1,1,1,1,1,0,59,5
context-share,2,b,1,1,1,1,1,1,107,6
context-share,3,a,1,1,1,1,1,1,69,6
context-share,3,b,1,1,1,1,1,1,116,6
context-share,4,a,1,1,1,1,1,1,53,6
context-share,4,b,1,1,1,1,1,1,76,6
context-share,5,a,1,1,1,1,1,0,61,5
context-share,5,b,1,1,1,1,1,1,109,6
context-share,6,a,1,1,1,1,1,1,64,6
context-share,6,b,1,1,1,1,1,1,103,6
context-share,7,a,1,1,1,1,1,0,70,5
context-share,7,b,1,1,1,1,1,1,100,6
context-share,8,a,1,1,1,1,1,0,54,5
context-share,8,b,1,1,1,1,1,1,105,6
context-share,9,a,1,1,1,1,1,1,93,6
context-share,9,b,1,1,1,1,1,1,157,6
messaging,1,a,1,1,1,1,1,0,75,5
messaging,1,b,1,1,1,1,1,1,146,6
messaging,10,a,1,1,1,1,1,1,74,6
messaging,10,b,1,1,1,1,1,1,95,6
messaging,2,a,1,1,1,1,1,1,94,6
messaging,2,b,1,1,1,1,1,1,128,6
messaging,3,a,1,1,1,1,1,1,69,6
messaging,3,b,1,1,1,1,1,1,331,6
messaging,4,a,1,1,1,1,1,0,87,5
messaging,4,b,1,1,1,1,1,1,109,6
messaging,5,a,1,1,1,1,1,1,79,6
messaging,5,b,1,1,1,1,1,1,109,6
messaging,6,a,1,1,1,1,1,1,84,6
messaging,6,b,1,1,1,1,1,1,124,6
messaging,7,a,1,1,1,1,1,1,79,6
messaging,7,b,1,1,1,1,1,1,101,6
messaging,8,a,1,1,1,1,1,0,88,5
messaging,8,b,1,1,1,1,1,1,195,6
messaging,9,a,1,1,1,1,1,1,76,6
messaging,9,b,1,1,1,1,1,1,150,6
no-coord,1,a,1,1,1,1,1,1,54,6
no-coord,1,b,1,1,1,1,1,1,90,6
no-coord,10,a,1,1,1,1,1,1,48,6
no-coord,10,b,1,1,1,1,1,1,145,6
no-coord,2,a,1,1,1,1,1,1,80,6
no-coord,2,b,1,1,1,1,1,1,105,6
no-coord,3,a,1,1,1,1,1,1,63,6
no-coord,3,b,1,1,1,1,1,1,114,6
no-coord,4,a,1,1,1,1,1,0,53,5
no-coord,4,b,1,1,1,1,1,1,261,6
no-coord,5,a,1,1,1,1,1,0,64,5
no-coord,5,b,1,1,1,1,1,1,83,6
no-coord,6,a,1,1,1,1,1,0,43,5
no-coord,6,b,1,1,1,1,1,1,104,6
no-coord,7,a,1,1,1,1,1,0,57,5
no-coord,7,b,1,1,1,1,1,1,70,6
no-coord,8,a,1,1,1,1,1,1,51,6
no-coord,8,b,1,1,1,1,1,1,67,6
no-coord,9,a,1,1,1,1,1,1,55,6
no-coord,9,b,1,1,1,1,1,1,99,6
placement,1,a,1,1,1,1,1,0,54,5
placement,1,b,1,1,1,1,1,1,93,6
placement,10,a,1,1,1,1,1,1,56,6
placement,10,b,1,1,1,1,1,1,92,6
placement,2,a,1,1,1,1,1,1,58,6
placement,2,b,1,1,1,1,1,1,67,6
placement,3,a,1,1,1,1,1,1,57,6
placement,3,b,1,1,1,1,1,1,88,6
placement,4,a,1,1,1,1,1,0,56,5
placement,4,b,1,1,1,1,1,1,121,6
placement,5,a,1,1,1,1,1,0,47,5
placement,5,b,1,1,1,1,1,1,97,6
placement,6,a,1,1,1,1,1,0,51,5
placement,6,b,1,1,1,1,1,1,91,6
placement,7,a,1,1,1,1,1,1,85,6
placement,7,b,1,1,1,1,1,1,119,6
placement,8,a,1,1,1,1,1,1,78,6
placement,8,b,1,1,1,1,1,1,123,6
placement,9,a,1,1,1,1,1,0,60,5
placement,9,b,1,1,1,1,1,1,99,6
