model,trial,F0_completion,F1_compilation,F2_new_tests,F3_regression,F4_file_discipline,F5_spec_match,duration_s,total_score
haiku,1,1,1,1,1,0,1,35,5
opus,1,1,1,1,1,0,1,42,5
haiku,10,1,1,1,1,0,1,36,5
opus,10,1,1,1,1,0,1,43,5
haiku,2,1,1,1,1,0,1,31,5
opus,2,1,1,1,1,0,1,41,5
haiku,3,1,1,1,1,0,1,32,5
opus,3,1,1,1,1,0,1,38,5
haiku,4,1,1,1,1,0,1,76,5
opus,4,1,1,1,1,0,1,47,5
haiku,5,1,1,1,1,0,1,42,5
opus,5,1,1,1,1,0,1,42,5
haiku,6,1,1,1,1,0,1,39,5
opus,6,1,1,1,1,0,1,44,5
haiku,7,1,1,1,1,0,1,31,5
opus,7,1,1,1,1,0,1,48,5
haiku,8,1,1,1,1,0,1,33,5
opus,8,1,1,1,1,0,1,42,5
haiku,9,1,1,1,1,0,1,36,5
opus,9,1,1,1,1,0,1,53,5
